Dish_Name,Calories_100g,Protein_100g,Fat_100g,Carbs_100g,Portion_Unit,Calories_Portion
lemon meringue pie,224.42613220214844,3.8764939308166504,8.156573295593262,35.106929779052734,slice,352.0685119628906
chocolate meringue pie,214.75732421875,4.979538440704346,9.174382209777832,28.8005428314209,slice,395.69036865234375
cream puffs,221.32684326171875,4.699136257171631,15.48151969909668,16.004837036132812,puff,160.185302734375
chocolate eclairs,239.41542053222656,4.237518310546875,13.49689769744873,26.21979331970215,éclair,405.2106018066406
cheese balls,681.2822875976562,2.2110037803649902,72.56733703613281,4.809665203094482,piece,402.9500732421875
minced meat patties,265.7190246582031,6.877348899841309,19.571426391601562,15.254345893859863,patty,344.9963073730469
cheese patties,324.00909423828125,7.381089687347412,22.668561935424805,22.23377227783203,patty,336.83984375
hot cheese souffle,177.0967254638672,9.182578086853027,13.230278015136719,5.405745506286621,bowl,525.5345458984375
hot potato souffle,125.63875579833984,5.507102966308594,7.644676208496094,8.564294815063477,bowl,460.7801208496094
hot fish souffle,142.92105102539062,11.226530075073242,9.24467658996582,3.6923108100891113,bowl,524.1629638671875
hot spinach souffle,104.24739074707031,5.433976173400879,7.239029407501221,4.18816614151001,bowl,413.6015319824219
plain cream cake,353.9397277832031,6.181830883026123,16.166807174682617,47.18427276611328,piece,188.47291564941406
apple cake (seb ka cake),290.0763854980469,4.93772029876709,12.867996215820312,39.48321533203125,piece,197.25193786621094
marble cake,354.1051330566406,6.299614906311035,16.265562057495117,46.87871551513672,piece,189.77822875976562
chocolate cake,335.6086730957031,6.006793975830078,15.18386459350586,45.13715362548828,piece,197.589599609375
orange cake,357.60858154296875,6.099879741668701,16.214645385742188,48.276588439941406,piece,186.1799774169922
fruit loaf,324.1949462890625,5.364250659942627,13.314026832580566,46.49192428588867,slice,181.1439208984375
banana cake (kele ka cake),389.51446533203125,5.772431373596191,23.314231872558594,39.99608612060547,slice,258.2967834472656
chocolate chiffon cake,311.70928955078125,5.764435768127441,15.799030303955078,37.86885452270508,slice,227.06072998046875
christmas cake,372.9477233886719,5.4928059577941895,16.883831024169922,48.294639587402344,slice,388.569580078125
strawberry and vanilla cake with butter icing,370.5380859375,3.890472173690796,20.38861083984375,44.25393295288086,slice,431.6768798828125
eggless cake,318.0814208984375,8.119446754455566,11.750404357910156,46.14249038696289,slice,193.93026733398438
swiss roll,251.87351989746094,7.296679496765137,3.767035484313965,48.33952713012695,swiss roll,159.30999755859375
pineapple pastry,208.20849609375,6.058520317077637,7.874136924743652,29.03999900817871,pastry,189.99024963378906
black forest pastry,233.5455780029297,6.087828159332275,8.463431358337402,34.47667694091797,pastry,217.78125
coconut finger,274.8556823730469,7.090244770050049,8.86209774017334,42.557167053222656,finger,196.52182006835938
pineapple cake,195.57154846191406,5.013372421264648,9.343976974487305,23.50896644592285,slice,1003.2820434570312
chocolate walnut cookies (chocolate aur akhrot ke cookies),424.8010559082031,6.559678077697754,23.622108459472656,47.09653854370117,cookie,110.00577545166016
chocolate chip cookies,425.290283203125,5.790704727172852,19.37832260131836,57.979427337646484,cookie,93.0322494506836
sweet plain biscuit,380.7574768066406,5.85941743850708,17.666601181030273,50.290096282958984,biscuit,54.4694709777832
chocolate biscuit,379.76165771484375,5.8763298988342285,17.09229278564453,51.56403350830078,biscuit,57.491695404052734
coconut biscuit (nariyal ke biscuit),434.98309326171875,5.780740737915039,27.160741806030273,42.90459060668945,biscuit,81.559326171875
sweet and salty biscuit (meethay aur namkeen biscuit),407.9567565917969,6.153419494628906,22.3854923248291,45.0871467590332,biscuit,43.74203109741211
peanut biscuit,401.0492248535156,8.450937271118164,20.408281326293945,46.72406005859375,biscuit,71.29764556884766
pin wheel biscuit,404.6002197265625,5.399580478668213,18.660795211791992,54.56477737426758,biscuit,80.41429138183594
saffron biscuit (kesar biscuit),458.6100769042969,6.047318458557129,22.01123809814453,59.7026481628418,biscuit,50.50825500488281
masala biscuit,393.64215087890625,6.061443328857422,20.750205993652344,45.180206298828125,biscuit,63.638816833496094
ice box cookies,374.2432861328125,5.6988372802734375,14.436914443969727,56.09218215942383,cookie,51.8742790222168
ginger bread man,364.99981689453125,6.609490871429443,11.006036758422852,60.25521469116211,biscuit,108.45056915283203
danish cookies,475.3273620605469,5.3333330154418945,24.915422439575195,58.004974365234375,biscuit,59.7130012512207
short bread cookies,443.0935363769531,6.027046203613281,17.98434066772461,64.81565856933594,biscuit,77.81829833984375
coffee biscuit,416.5721740722656,6.897576808929443,23.004684448242188,46.553470611572266,biscuit,71.62727355957031
melting moments,437.9105224609375,5.713255405426025,21.779199600219727,55.835391998291016,biscuit,72.86344146728516
ginger biscuit (adarak ke biscuit),417.90899658203125,5.981011390686035,18.305675506591797,58.444786071777344,biscuit,56.243587493896484
soyabean muthias,839.3265991210938,2.4567065238952637,90.44906616210938,3.7021288871765137,muthia,1126.439208984375
soyabean tikki,698.1696166992188,3.534716844558716,74.01758575439453,4.386415004730225,tikki,1156.3433837890625
soyabean namak paras,838.4635620117188,2.650986671447754,89.82512664794922,4.6501688957214355,plate,2294.245849609375
peanut burfi (moongfali ki burfi),550.9937133789062,9.311023712158203,36.840946197509766,48.137794494628906,burfi,116.62700653076172
spinach peanut namak paras (palak moongfali namak paras),740.1648559570312,1.6543337106704712,78.51103210449219,6.616377830505371,plate,2339.84619140625
gram flour and semolina chilla/cheela/savory pancake (besan suji chilla/cheela),758.8948364257812,2.076328992843628,80.03778839111328,7.632391929626465,cheela,1142.13671875
rice moong dal cheela (chawal aur moong dal ka cheela),798.2612915039062,2.740994691848755,82.43790435791016,11.127787590026855,cheela,1163.4658203125
split bengal gram sweet rice (channa dal sweet rice),190.21141052246094,4.154545307159424,0.6440909504890442,41.07227325439453,plate,418.465087890625
sweet poori (meethi poori),782.7457275390625,2.118032693862915,79.63114929199219,14.262786865234375,poori,1193.687255859375
wheat flour and moong dal burfi (atta aur moong dal ki burfi),441.0816955566406,9.835238456726074,18.411428451538086,59.99618911743164,piece,115.78395080566406
spinach burfi (palak burfi),121.17243957519531,2.707460641860962,6.814060211181641,12.760344505310059,piece,105.57148742675781
sweet split chickpea roti (sweet channa dal roti/puranpoli),366.58697509765625,9.514519691467285,7.927868843078613,62.66041946411133,roti,195.66580200195312
sprouted moong daliya,111.56324768066406,2.8050949573516846,4.709778308868408,14.772531509399414,plate,352.53985595703125
sprouted moong poha,192.60342407226562,5.592452049255371,6.885891437530518,26.604839324951172,plate,368.5081481933594
pearl millet ladoo (bajra ladoo),319.6562194824219,9.61368465423584,8.058947563171387,50.98263168334961,ladoo,151.83670043945312
paushtik ladoo,485.8724365234375,7.651785850524902,24.982500076293945,60.335357666015625,ladoo,170.0553436279297
paushtik roti,149.2551727294922,7.168041706085205,1.508170485496521,26.594066619873047,roti,64.09514617919922
semolina carrot vada (suji gajar vada),699.52880859375,1.5599077939987183,74.07450103759766,6.520737171173096,vada,1138.483154296875
dhokla,216.48545837402344,13.447745323181152,5.283342361450195,30.68433380126953,piece,86.50218200683594
kashmiri tea (kehwa),24.90366554260254,0.1741410195827484,0.5063420534133911,5.232052803039551,tea cup,63.92770767211914
steeped hot coffee,15.908044815063477,0.38663366436958313,0.33267325162887573,3.0103960037231445,tea cup,32.13425064086914
hot chocolate,90.00577545166016,3.429396390914917,4.611023902893066,9.018110275268555,tea cup,171.46099853515625
cold coffee (with cream),82.76406860351562,1.9341317415237427,3.289820432662964,11.983233451843262,tall glass,207.32400512695312
banana milkshake with ice cream (kele ka milkshake ice cream ke saath),76.44817352294922,2.01411771774292,2.77117657661438,11.153529167175293,tall glass,259.9237976074219
flavoured milkshake,66.77578735351562,2.0589473247528076,2.8294737339019775,8.646315574645996,tall glass,190.31100463867188
jal jeera,30.240806579589844,0.43786653876304626,0.25982123613357544,6.700246334075928,juice glass,42.34368133544922
gingo,48.01787185668945,0.13628865778446198,0.059364259243011475,12.418608665466309,tall glass,139.73199462890625
mintade,40.32213592529297,0.033421050757169724,0.023464912548661232,10.594780921936035,glass,229.83616638183594
canjee,6.614322185516357,0.24410180747509003,0.4234459102153778,0.4361233413219452,glass,11.260883331298828
cauliflower canjee (phoolgobhi ki canjee),6.896761417388916,0.38903406262397766,0.42281848192214966,0.34624359011650085,glass,12.316466331481934
potato canjee (aloo canjee),16.263832092285156,0.43521127104759216,0.38843363523483276,2.68544602394104,glass,31.75513458251953
vermicelli porridge (semiya/seviyan porridge),78.3978271484375,2.4965951442718506,2.982597589492798,10.564943313598633,bowl,310.847412109375
